ID,Rank,Wins,Comps,Probability,SEp,Logit,CDATpercentile,Set,DOB,Grade,Gender,Race,Hisp,Lunch,EL,ObsRank,ObsPercentile,CDAT_date,Age,Race_ethnicity,CDATGroup,ObsGroup
1912,2,49,54,0.907,0.039,2.282,96.55,11,12/30/11,4,M,W,Y,F,Y,1,98.3,1/25/22,10.07,H,1,1
6471,1,48,48,1,None ,None ,97.78,8,11/29/11,4,F,W,Y,F,Y,1,97.8,2/1/22,10.17,H,1,1
4236,1,39,40,0.975,0.025,3.663,97.3,10,8/15/12,4,F,W,Y,F,N,3,96.9,3/1/22,9.54,H,1,1
2339,1,32,33,0.97,0.03,3.465,96.55,6,9/15/11,4,F,W,Y,F,N,1,96.6,2/1/22,10.38,H,1,1
9953,3,41,50,0.82,0.054,1.516,93.33,8,5/8/12,4,F,W,Y,F,N,2,95.7,2/1/22,9.73,H,1,1
2909,3,40,54,0.741,0.06,1.05,94.83,11,2/27/12,4,F,W,Y,F,Y,3,94.8,1/25/22,9.91,H,1,1
7035,4,35,52,0.673,0.065,0.722,91.38,9,5/26/12,4,F,W,N,F,N,3,94.8,2/1/22,9.68,W,1,1
3744,3,33,41,0.805,0.062,1.417,91.89,10,9/23/11,4,F,W,Y,F,N,6,93.8,3/1/22,10.44,H,1,1
3844,4,50,67,0.746,0.053,1.079,95.6,7,11/2/11,4,M,W,N,X,N,6,93.4,2/2/22,10.25,W,1,1
5789,2,33,40,0.825,0.06,1.55,94.59,10,1/13/12,4,N,W,N,F,N,8,91.7,3/1/22,10.13,W,1,1
6240,1,24,28,0.857,0.066,1.792,90.91,12,3/15/12,4,M,X,N,F,N,8,91.7,1/28/22,9.87,X,1,1
4219,1,24,28,0.857,0.066,1.792,90.91,12,5/1/12,4,F,W,N,F,N,9,90.6,1/28/22,9.74,W,1,1
6273,1,43,51,0.843,0.051,1.682,98.28,9,2/6/11,4,M,W,Y,F,Y,7,87.9,2/1/22,10.99,H,1,0
1785,2,32,35,0.914,0.047,2.367,93.1,6,7/3/12,4,M,W,N,F,N,4,86.2,2/1/22,9.58,W,1,0
6275,5,47,65,0.723,0.056,0.96,94.51,7,4/5/12,4,F,W,N,X,N,13,85.7,2/7/22,9.84,W,1,0
9547,3,48,64,0.75,0.054,1.099,96.7,7,7/16/12,4,M,W,N,X,N,15,83.5,2/7/22,9.56,W,1,0
7223,5,40,55,0.727,0.06,0.981,91.38,11,3/29/12,4,F,W,Y,F,Y,11,81,1/25/22,9.82,H,1,0
6296,1,59,64,0.922,0.034,2.468,98.9,7,5/16/11,4,M,W,N,F,N,22,75.8,2/7/22,10.73,W,1,0
2676,4,39,53,0.736,0.061,1.024,93.1,11,5/15/12,4,M,W,Y,F,Y,17,70.7,1/25/22,9.69,H,1,0
