Set,Person ID Code,Rank,Wins,Comps,Logit,Low 95% CI,Score,High 95% CI,Percentile CDAT,DOB,Grade,Gender,Race,Hispanic,Lunch,EL,Ranking Observation,Obs Rank,Percentile Obs,Date CDAT Completed,Age,Race/Ethnicity,Stanine Obs,Stanine CDAT,Recognition
11,1005,24,24,49,-0.041,62,67.6,73.2,51.72,4/6/11,4,M,W,Y,F,Y,,,,1/27/22,10.81,H,NA,N,0
9,1013,21,26,52,0,62.6,68,73.4,53.45,4/5/12,4,F,W,Y,F,Y,9,9,86.21,2/1/22,9.82,H,7,N,7
10,1042,18,30,62,-0.065,62.4,67.4,72.3,48.65,1/2/12,4,F,W,Y,F,N,,,,3/1/22,10.16,H,NA,N,0
10,1052,15,37,70,0.114,64.4,69.1,73.8,56.76,8/29/12,4,F,W,Y,F,N,,,,3/1/22,9.51,H,NA,N,0
4,1121,10,16,34,-0.118,60.1,66.8,73.6,43.75,3/17/12,4,F,N,N,X,Y,,,,2/8/22,9.89,N,NA,N,0
7,1134,13,38,66,0.305,66.2,71,75.9,84.62,2/23/12,4,F,W,N,F,N,,,,2/2/22,9.94,W,NA,7,7
4,1154,14,4,23,-1.558,41.6,52.4,63.2,12.5,4/15/12,4,F,W,N,X,N,5,2,93.75,2/8/22,9.81,W,8,N,8
4,1222,6,20,33,0.431,65.3,72.3,79.3,68.75,8/19/11,4,F,W,Y,X,N,6,3,87.5,2/8/22,10.47,H,7,N,7
10,1246,11,39,68,0.296,66.2,71,75.8,72.97,2/24/12,4,F,B,Y,F,Y,,,,3/1/22,10.02,B,NA,N,0
11,1286,18,24,44,0.182,63.9,69.8,75.8,68.97,5/6/12,4,F,W,Y,F,Y,15,13,79.31,1/25/22,9.72,H,7,N,7
7,1289,26,33,66,0,63.2,68,72.8,51.65,7/18/12,4,F,W,N,X,N,,,,1/31/22,9.54,W,NA,N,0
6,1290,23,18,47,-0.477,57.3,63.2,69.1,24.14,12/4/11,4,M,W,N,F,N,,,,2/1/22,10.16,W,NA,N,0
7,1335,39,29,66,-0.244,60.7,65.6,70.4,23.08,9/7/11,4,F,W,N,F,N,28,18,81.32,1/31/22,10.4,W,7,N,7
11,1360,17,27,49,0.205,64.4,70,75.7,72.41,10/29/11,4,F,W,Y,F,N,,,,1/25/22,10.24,H,NA,N,0
11,1368,23,25,50,0,62.5,68,73.5,55.17,8/13/12,4,F,W,Y,F,Y,,,,1/27/22,9.46,H,NA,N,0
10,1370,28,18,56,-0.747,54.9,60.5,66.1,21.62,12/9/11,4,M,W,N,F,N,,,,3/1/22,10.23,W,NA,N,0
11,1408,45,11,40,-0.969,51.4,58.3,65.3,10.34,9/19/11,4,M,W,Y,F,Y,,,,1/25/22,10.35,H,NA,N,0
7,1411,23,34,66,0.061,63.8,68.6,73.4,60.44,2/22/12,4,M,W,N,X,N,,,,2/17/22,9.99,W,NA,N,0
8,1427,14,44,75,0.35,66.9,71.5,76.1,69.57,10/26/11,4,M,W,Y,F,Y,,,,2/1/22,10.26,H,NA,N,0
8,1454,35,27,73,-0.533,57.9,62.7,67.4,19.57,5/14/12,4,M,W,Y,F,Y,,,,2/1/22,9.71,H,NA,N,0
11,1489,27,23,48,-0.083,61.5,67.2,72.8,43.1,8/22/12,4,M,W,Y,F,Y,,,,1/25/22,9.43,H,NA,N,0
8,1523,18,47,90,0.089,64.8,68.9,73,60.87,6/14/12,4,M,W,Y,F,Y,,,,2/1/22,9.63,H,NA,N,0
11,1538,39,18,42,-0.288,59,65.1,71.2,22.41,9/12/11,4,M,W,Y,F,Y,,,,1/27/22,10.38,H,NA,N,0
12,1598,13,16,38,-0.318,58.4,64.8,71.3,40.91,9/17/11,4,M,W,N,X,N,6,6,77.27,1/28/22,10.36,W,7,N,7
7,1619,39,29,66,-0.244,60.7,65.6,70.4,23.08,7/26/11,4,F,X,N,X,N,,,,2/17/22,10.56,X,NA,N,0
4,1637,7,21,37,0.272,64.2,70.7,77.2,62.5,12/4/11,4,M,N,N,X,Y,,,,2/8/22,10.18,N,NA,N,0
7,1657,52,12,64,-1.466,47.1,53.3,59.6,3.3,3/31/12,4,M,B,N,F,N,,,,1/31/22,9.83,B,NA,N,0
12,1657,15,13,35,-0.526,55.9,62.7,69.6,31.82,3/31/12,4,M,B,N,F,N,,,,1/31/22,9.83,B,NA,N,0
7,1700,49,19,65,-0.884,53.8,59.2,64.5,6.59,1/30/12,4,M,W,N,X,N,,,,1/31/22,10,W,NA,N,0
11,1707,1,40,41,3.688,85,104.9,124.7,100,6/23/11,4,M,W,Y,F,N,,,,1/25/22,10.59,H,NA,9,9
7,1714,9,42,65,0.602,68.9,74,79.1,89.01,4/7/12,4,F,W,N,X,N,5,5,95.6,2/17/22,9.86,W,8,7,15
6,1785,2,32,35,2.367,79.8,91.7,103.5,96.55,7/3/12,4,M,W,N,F,N,4,4,89.66,2/1/22,9.58,W,7,9,16
8,1795,38,18,61,-0.871,53.8,59.3,64.8,13.04,7/17/12,4,M,W,Y,F,Y,,,,2/1/22,9.54,H,NA,N,0
11,1896,19,27,51,0.118,63.7,69.2,74.7,67.24,6/13/12,4,M,W,Y,F,N,,,,1/14/22,9.59,H,NA,N,0
7,1901,8,43,65,0.67,69.6,74.7,79.8,91.21,7/19/12,4,F,W,N,X,N,,,,2/2/22,9.54,W,NA,8,8
11,1904,30,20,43,-0.14,60.6,66.6,72.6,37.93,12/18/11,4,M,W,Y,F,Y,,,,1/25/22,10.1,H,NA,N,0
11,1912,2,37,39,2.917,82.9,97.2,111.4,98.28,12/30/11,4,M,W,Y,F,Y,1,1,100,1/25/22,10.07,H,9,9,18
9,1946,32,20,51,-0.438,58,63.6,69.2,15.52,11/11/11,4,M,W,Y,F,Y,,,,2/1/22,10.22,H,NA,N,0
4,1995,11,12,33,-0.56,55.3,62.4,69.5,37.5,12/18/11,4,M,N,N,X,Y,1,1,100,2/8/22,10.14,N,9,N,9
6,2050,19,23,53,-0.266,59.9,65.3,70.8,37.93,3/24/12,4,F,W,Y,F,Y,7,6,82.76,2/1/22,9.85,H,7,N,7
9,2068,26,24,52,-0.154,61,66.5,71.9,32.76,11/19/10,4,M,W,Y,F,Y,,,,2/1/22,11.2,H,NA,N,0
6,2107,11,35,64,0.188,65,69.9,74.8,65.52,9/28/11,4,M,W,Y,F,Y,8,7,79.31,2/1/22,10.34,H,7,N,7
11,2120,22,26,51,0.039,62.9,68.4,73.9,58.62,8/10/12,4,M,W,Y,F,Y,,,,1/14/22,9.43,H,NA,N,0
6,2122,21,20,50,-0.405,58.3,63.9,69.6,31.03,12/14/11,4,F,W,Y,F,Y,,,,2/1/22,10.13,H,NA,N,0
10,2146,25,27,67,-0.393,59.2,64.1,69,29.73,1/28/12,4,M,B,N,F,N,,,,3/1/22,10.09,B,NA,N,0
11,2158,5,29,42,0.802,69.5,76,82.6,93.1,12/28/11,4,F,W,Y,F,N,6,6,91.38,1/27/22,10.08,H,8,8,16
9,2170,27,24,53,-0.189,60.7,66.1,71.5,25.86,2/27/12,4,M,W,Y,F,N,6,6,91.38,2/1/22,9.93,H,8,N,8
9,2228,10,32,56,0.288,65.6,70.9,76.2,79.31,12/14/11,4,F,W,Y,F,N,1,1,100,2/1/22,10.13,H,9,7,16
7,2246,10,42,66,0.56,68.6,73.6,78.6,87.91,12/27/11,4,M,W,N,X,N,,,,2/2/22,10.1,W,NA,7,7
6,2248,28,9,43,-1.329,47.4,54.7,62.1,6.9,11/24/10,4,M,P,N,F,N,,,,2/1/22,11.19,P,NA,N,0
6,2339,1,32,33,3.465,82.8,102.6,122.5,100,9/15/11,4,F,W,Y,F,N,1,1,100,2/1/22,10.38,H,9,9,18
9,2346,37,12,51,-1.179,49.7,56.2,62.7,6.9,7/18/11,4,M,A,Y,F,Y,,,,2/1/22,10.54,A,NA,N,0
10,2355,16,40,76,0.105,64.5,69,73.6,54.05,7/21/12,4,F,W,N,F,N,,,,3/1/22,9.61,W,NA,N,0
8,2371,2,45,48,2.708,83.4,95.1,106.8,97.83,9/2/11,4,F,W,N,F,N,,,,2/1/22,10.41,W,NA,9,9
8,2373,9,50,78,0.58,69.2,73.8,78.4,82.61,9/17/11,4,F,W,Y,F,Y,,,,2/1/22,10.37,H,NA,7,7
8,2402,4,48,66,0.981,72.4,77.8,83.2,93.48,8/1/12,4,M,W,Y,F,N,,,,2/1/22,9.5,H,NA,8,8
7,2457,20,35,66,0.121,64.4,69.2,74,68.13,5/12/12,4,F,X,Y,X,N,,,,2/2/22,9.72,X,NA,N,0
